Объект;Адрес;Местонахождение и Описание;№ Акта;Дата;№ Акта;Дата;ЗиП;Примечание;;;;;;;;;;;;;;;;;;
Спальный корпус;;При оповещении в СК включать оповещение в гостевой зоне корпуса ресторанов, админкорпусе и коммерческом отделе. в бассейнах не нужно. табличками моргаем (кроме подвала и цоколя КР).;;07.06.2023;доделать;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;Коммерческий отдел перенести из ресторанов в спальный корпус - АПС и СОУЭ;;07.06.2023;доделать;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;23.1.70;"корп. ресторанов, цоколь, зону 40103 ""Склад СГХ"" переименовать в ""цех мороженного"", добавить туда еще 1 ИП-64, дать ему адрес 23.1.70. Поставить ИП попарно 23.1.40-23.1.54,  23.1.37-23.1.69, 23.1.36-23.1.70. Внести решение по дооборудованию в проект.  ";;02.06.2023;доделать;внести изменения в проект!!!;;;;;;;;;;;;;;;;;;;;
Спальный корпус;9.2.101;"ИПд-РК в № 414 отвязать от зоны ""411 Коридор"" и завести в зону ""414.Номер 414"".";;19.05.2023;;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"Интурист просит помещения корпуса ресторанов с этажа ""Хрустального"" № 30027-30036, 30076 (ЦДУ, там где кабинет Камакина) подвязать к спальному корпусу, т.к.все выходы эвакуации идут через спальный корпус. Подаруев одобрил. Нужно продумать, где сделать переключение линий АПС и СОУЭ. И потом внести это  в проект и на визуализацию.";;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;"Помещении ""Склад СГХ"" на цоколе корпуса ресторанов (ЗКПС № 40103 - ИП-64 23.1.36,37,40) оборудовали подвесным потолком. Извещатели, которые были на потолке, стали запотолочными. Для дооборудования извещателями нужно добавить 3 ИП-64 (или комбинированными - там будет цех мороженного), а старые обозвать запотолочными. Само помещение переименовать из ""Склад СГХ"" в ""Цех мороженного, цоколь КР"". Тип процессов, для выбора извещателей, попроси уточнить.";;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
;;Можно в названиях помещений в конце указать: корпус ресторанов - КР, бассейноа - КБ, спальный - СК, админ - АК ? Если не везде, то хотя бы в тех, до каких дотянутся руки );;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;21.1.81 и 82;№ 1489, на визуализации поменять местами попарно 21.1.81 и 21.1.82, 21.1.83 и 21.1.84;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.62 и 64;№ 917, на визуализации поменять местами 1.1.62 и 1.1.64;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.161 и 158;№ 721, на визуализации поменять местами 2.2.161 и 2.2.158;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;6.2.173;№ 1068, ИПД-РК с зав.№ 1227863 заменен на новый, с зав.№ 1285650;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;13.2.49;№ 535, ИПД-РК с зав.№ 1221562 заменен на новый, с зав.№ 1285681;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;13.2.53;№ 535, ИПД-РК с зав.№ 1219373 заменен на другой, с зав.№ 1227863;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.25;№ 1427, ИПД-РК с зав.№ 1226408 заменен на новый, с зав.№ 1266432;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;8.1.180;№ 887, ИПД-РК с зав.№ 1228649 заменен на новый, с зав.№ 1283406;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;2.2.198;№ 521, ИПД-РК с зав.№ 1223249 заменен на новый, с зав.№ 1285660;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;1.1.63;№ 919, ИПД-РК с зав.№ 1211043 заменен на новый, с зав.№ 1219886;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;12.2.131;5 этаж 4й лифтовой холл, ИПД-РК с зав.№ 1221299 заменен на другой, с зав.№ 1228649;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Спальный корпус;ПОС;синхронизироваать время приборов и АРМа с реальным временем;;28.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;где сценарий Санта-Барбары? где сценарий № 310 ?;;10.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;отсутствует сценарий запуска для зон 40200-40206 Санта-Барбара;;10.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
Корпус ресторанов;;сценарий № 261 - что делает? откуда запускается? может удалить?;;10.04.2023;на выполнение;;;;;;;;;;;;;;;;;;;;;
